#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 03 11 50 197 11.5 14.0  3.58 12.12  6.79 264 1011.0  11.3  10.7 999.0 99.0 99.00
2019 01 03 12 50 195 10.7 12.9  3.94 12.90  7.26 259 1010.5  11.2  10.7 999.0 99.0 99.00
2019 01 03 13 50 198 11.8 14.1  3.55 12.90  6.77 258 1009.9  11.3  10.7 999.0 99.0 99.00
2019 01 03 14 50 198 11.9 14.5  3.56 10.81  7.07 272 1009.7  11.4  10.7 999.0 99.0 99.00
2019 01 03 15 50 192 13.6 16.5  3.83 13.79  7.23 264 1009.2  11.4  10.7 999.0 99.0 99.00
2019 01 03 17 50 191 12.4 16.1  4.22  8.33  7.50 235 1009.6  11.2  10.7 999.0 99.0 99.00
2019 01 03 18 50 188 13.2 15.8  4.11 12.90  7.45 272 1009.2  11.1  10.7 999.0 99.0 99.00
2019 01 03 19 50 192 13.1 16.3  4.66 12.90  7.80 259 1008.6  11.1  10.7 999.0 99.0 99.00
2019 01 03 20 50 194 12.5 15.5  4.67  9.09  7.70 208 1007.8  11.1  10.7 999.0 99.0 99.00
2019 01 03 21 50 193 12.5 16.9  4.99  8.33  7.80 214 1007.1  11.3  10.7 999.0 99.0 99.00
2019 01 03 22 50 189 13.5 17.1  5.16  9.09  7.87 211 1006.4  11.1  10.7 999.0 99.0 99.00
2019 01 03 23 50 184 14.3 17.1  5.39 12.12  8.13 257 1005.1  11.1  10.7 999.0 99.0 99.00
2019 01 04 00 50 179 15.4 19.7  5.33 12.90  8.02 268 1003.4  11.2  10.7 999.0 99.0 99.00
2019 01 04 01 50 179 16.0 20.4  5.20  9.09  7.70 196 1002.4  11.0  10.7 999.0 99.0 99.00
2019 01 04 02 50 238 10.8 13.7  5.89  9.09  8.06 188 1003.7   9.5  10.7 999.0 99.0 99.00
2019 01 04 03 50 221 10.3 13.7  5.96  9.09  8.30 187 1004.4  10.0  10.7 999.0 99.0 99.00
2019 01 04 04 50 206  9.9 12.2  5.62 10.00  8.12 203 1004.3  10.2  10.7 999.0 99.0 99.00
2019 01 04 05 50 189 10.6 13.9  5.26 10.81  8.20 229 1004.2  10.5  10.7 999.0 99.0 99.00
2019 01 04 06 50 199 12.4 14.9  5.68 10.81  8.48 205 1004.2  11.1  10.7 999.0 99.0 99.00
2019 01 04 07 50 198 13.3 16.5  5.23 10.00  8.41 187 1003.8  11.3  10.7 999.0 99.0 99.00
2019 01 04 08 50 209 13.8 18.2  5.36 11.43  8.29 240 1004.3  11.5  10.7 999.0 99.0 99.00
2019 01 04 09 50 212 12.2 14.9  5.77  9.09  8.28 213 1005.1  11.1  10.7 999.0 99.0 99.00
2019 01 04 10 50 210 12.2 14.4  5.64 12.12  8.42 243 1005.6  11.3  10.7 999.0 99.0 99.00
