Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.3,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,1.6,0.0,T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,T,0.0
9,0.0,T,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,3.6,0.0
10,0.0,1.0,0.0,T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4
12,0.0,0.5,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
13,T,0.6,0.1,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
14,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.8
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
16,0.0,0.0,0.0,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T
19,0.0,1.7,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,0.0,T
24,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,T,0.0
27,0.0,0.0,T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3
29,T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4
30,T,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,-,0.0,-,0.0,-,0.0,0.0,-,0.0,-,0.0
