Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,0.0,0.0,4.8,T,1.2,0.0,0.0,0.0,0.0,0.0,0.0,2.8
2,0.0,0.0,3.4,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,11.6,T,T,0.0,0.0,0.0,0.0,0.0,0.0,T
4,0.0,0.0,6.6,0.4,T,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T
6,0.0,T,T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
7,1.0,2.4,17.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.5,T,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T
9,0.0,0.0,8.1,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,3.1
10,0.0,0.0,0.0,1.2,T,0.0,0.0,0.0,0.0,5.8,0.0,0.5
11,7.1,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,4.3,0.5,0.0
12,2.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,T,0.0,4.0,T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6
14,0.0,3.8,2.8,T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2
15,0.0,1.0,0.0,T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8
16,0.7,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2.0,0.8,0.0,T,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
18,2.1,T,0.0,0.3,T,0.0,0.0,0.0,0.0,T,0.0,0.0
19,0.0,0.4,0.0,T,T,0.0,0.0,0.0,0.0,1.8,0.0,0.0
20,0.0,1.1,2.1,0.0,T,0.0,0.0,0.0,0.0,3.5,T,T
21,0.0,0.0,0.0,0.0,6.8,T,0.0,0.0,0.0,1.5,0.8,0.0
22,3.0,0.0,1.0,T,1.1,0.6,0.0,0.0,0.0,1.3,3.2,0.0
23,0.3,4.4,0.2,0.6,0.5,T,0.0,0.0,0.0,T,1.4,0.0
24,1.0,T,T,0.0,1.2,T,0.0,0.0,0.0,7.4,0.0,0.0
25,2.4,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
26,0.0,0.0,0.0,0.0,T,0.0,0.0,0.0,0.0,0.0,1.0,1.4
27,T,0.0,0.0,T,T,0.0,0.0,0.0,0.0,0.0,0.8,0.0
28,2.0,T,0.0,0.0,T,0.0,0.0,0.0,0.0,4.3,0.0,0.8
29,1.0,M,0.0,2.3,T,0.0,0.0,0.0,0.0,T,0.0,1.4
30,0.0,-,2.6,2.8,2.8,0.0,0.0,0.0,0.0,0.5,3.3,0.0
31,0.0,-,0.0,-,0.0,-,0.0,0.0,-,0.0,-,0.0
